,title,author,date_read,date_added,rating,num_pages,avg_rating,read_count,date_published,date_started,cover_url,user_id
0,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,,2023-08-16,,211.0,4.01,0,2006-08-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421709292l/61329._SY75_.jpg,142394620
1,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,,2023-08-15,,320.0,4.25,0,2015-10-20,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427163007l/23848190._SX50_.jpg,142394620
2,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,2023-08-15,,228.0,4.1,0,2002-04-11,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400841022l/21343._SY75_.jpg,142394620
3,The Minds of Billy Milligan,Daniel Keyes,,2023-08-14,,374.0,4.3,0,1981-10-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360229756l/1391817._SX50_.jpg,142394620
4,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,,2023-08-03,,535.0,4.54,0,2021-04-13,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611952534l/43868109._SY75_.jpg,142394620
5,"The Nolan Variations: The Movies, Mysteries, and Marvels of Christopher Nolan",Tom Shone,,2023-07-30,,618.0,4.4,0,2020-11-05,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1605775322l/55942848._SX50_.jpg,142394620
6,Nobody Wants to Read Your Sh*t: Why That Is And What You Can Do About It,Steven Pressfield,,2023-07-25,,210.0,4.21,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465870954l/30556551._SY75_.jpg,142394620
7,Inspired: How to Create Tech Products Customers Love,Marty Cagan,,2023-07-24,,349.0,4.25,0,2008-01-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685881845l/35249663._SY75_.jpg,142394620
8,How To Build A Car,Adrian Newey,,2023-07-19,,400.0,4.49,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509876857l/35657708._SX50_.jpg,142394620
9,Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine,Mike Michalowicz,,2023-07-18,,224.0,4.26,0,2014-06-24,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564556201l/30780674._SY75_.jpg,142394620
